Date,Open,High,Low,Close,Adj Close,Volume
2017-01-12,1192.699951,1204.300049,1192.300049,1198.900024,1198.900024,20
2017-01-13,1195.699951,1196,1187.699951,1195.300049,1195.300049,110
2017-01-15,null,null,null,null,null,null
2017-01-17,1205.5,1214.599976,1200.800049,1212,1212,65
2017-01-18,1213.599976,1214.699951,1203.099976,1211.300049,1211.300049,79
2017-01-19,1200.5,1204,1195.800049,1200.900024,1200.900024,114
2017-01-20,1202.800049,1212.099976,1202.800049,1204.300049,1204.300049,26
2017-01-22,null,null,null,null,null,null
2017-01-23,1212,1215,1210,1215,1215,38
2017-01-24,1219,1219,1207.699951,1210.300049,1210.300049,16
2017-01-25,1202,1202.800049,1194.900024,1197.300049,1197.300049,24
2017-01-26,1199.699951,1199.699951,1185.599976,1189.5,1189.5,403
2017-01-27,1187.900024,1188.300049,1187.900024,1188.099976,1188.099976,19
2017-01-29,null,null,null,null,null,null
2017-01-30,1191.699951,1198.5,1187.099976,1193.199951,1193.199951,234352
2017-01-31,1194.900024,1214.699951,1193.5,1208.599976,1208.599976,50503
2017-02-01,1211.900024,1211.900024,1197.900024,1205.599976,1205.599976,3212
2017-02-02,1209.699951,1224.199951,1208.900024,1216.699951,1216.699951,1145
2017-02-03,1214.900024,1220.599976,1206.199951,1218.5,1218.5,1512
2017-02-05,null,null,null,null,null,null
2017-02-06,1221.900024,1235.400024,1218.5,1230,1230,865
2017-02-07,1234.199951,1236.199951,1228.5,1234.199951,1234.199951,908
2017-02-08,1232.099976,1243.900024,1231,1237.599976,1237.599976,1177
2017-02-09,1239.400024,1243.5,1226.900024,1235.099976,1235.099976,288
2017-02-10,1227.599976,1234.400024,1221.5,1234.400024,1234.400024,885
2017-02-12,null,null,null,null,null,null
2017-02-13,1230.5,1231.099976,1219,1224.400024,1224.400024,391
2017-02-14,1225.900024,1233.5,1222.099976,1223.900024,1223.900024,398
2017-02-15,1225.5,1231.699951,1217.300049,1231.699951,1231.699951,159
2017-02-16,1234.5,1240.699951,1233.199951,1240,1240,175
2017-02-17,1240.699951,1241.199951,1234.800049,1237.599976,1237.599976,87
2017-02-19,null,null,null,null,null,null
2017-02-21,1237.300049,1237.5,1228.099976,1237.5,1237.5,301
2017-02-22,1236.099976,1238.599976,1231.800049,1232,1232,119
2017-02-23,1236.099976,1250.300049,1236.099976,1250.199951,1250.199951,36
2017-02-24,1250,1258.800049,1250,1256.900024,1256.900024,112
2017-02-26,null,null,null,null,null,null
2017-02-27,1254.699951,1263.099976,1250.400024,1257.400024,1257.400024,1264
2017-02-28,1253.599976,1257.300049,1247.199951,1252.599976,1252.599976,544
2017-03-01,1247.800049,1248.900024,1236.900024,1248.900024,1248.900024,721
2017-03-02,1247.199951,1247.599976,1230.699951,1231.900024,1231.900024,138
2017-03-03,1231.699951,1235.199951,1222.900024,1225.5,1225.5,79
2017-03-05,null,null,null,null,null,null
2017-03-06,1235.199951,1235.199951,1224.5,1224.5,1224.5,121
2017-03-07,1224.300049,1225.400024,1213.699951,1215.099976,1215.099976,29
2017-03-08,1212.199951,1212.199951,1206.699951,1208.5,1208.5,53
2017-03-09,1204.5,1205.599976,1202.300049,1202.400024,1202.400024,24
2017-03-10,1196.199951,1203.300049,1196.199951,1200.699951,1200.699951,37
2017-03-12,null,null,null,null,null,null
2017-03-13,1206.199951,1210,1202.300049,1202.400024,1202.400024,3
2017-03-14,1203.099976,1205.900024,1196.800049,1201.900024,1201.900024,35
2017-03-15,1198.199951,1221.199951,1197.699951,1200.099976,1200.099976,22
2017-03-16,1222.199951,1231.400024,1222.199951,1226.5,1226.5,36
2017-03-17,1227.099976,1230.900024,1227.099976,1229.800049,1229.800049,47
2017-03-19,null,null,null,null,null,null
2017-03-20,1229.300049,1234.400024,1229.300049,1233.599976,1233.599976,26
2017-03-21,1226.400024,1246.099976,1226.400024,1246.099976,1246.099976,23
2017-03-22,1247.900024,1249.5,1247.699951,1249.300049,1249.300049,11
2017-03-23,1246.400024,1247.5,1244.800049,1246.900024,1246.900024,3
2017-03-24,1248,1248.300049,1247.599976,1248.199951,1248.199951,16
2017-03-26,null,null,null,null,null,null
2017-03-27,1255.800049,1257.699951,1253.800049,1255.400024,1255.400024,3
2017-03-28,1255.900024,1255.900024,1255.300049,1255.300049,1255.300049,72
2017-03-29,1252.199951,1253.400024,1252.099976,1253.400024,1253.400024,19
2017-03-30,1253.099976,1253.599976,1241.099976,1245,1245,190678
2017-03-31,1242.099976,1248.800049,1238.699951,1247.300049,1247.300049,51328
2017-04-02,null,null,null,null,null,null
2017-04-03,1247.5,1252.400024,1243.599976,1250.800049,1250.800049,8223
2017-04-04,1253.099976,1260.300049,1253,1255,1255,1160
2017-04-05,1255.400024,1255.400024,1243,1245.400024,1245.400024,724
2017-04-06,1256.099976,1257.5,1249,1250.300049,1250.300049,907
2017-04-07,1249.5,1269.099976,1249.5,1254.300049,1254.300049,169
2017-04-09,null,null,null,null,null,null
2017-04-10,1252.699951,1255.199951,1246.800049,1251.099976,1251.099976,445
2017-04-11,1254.5,1273.5,1254.5,1271.199951,1271.199951,182
2017-04-12,1275,1285.099976,1272,1275.300049,1275.300049,401
2017-04-13,1285.300049,1287.599976,1282,1285.900024,1285.900024,492
2017-04-16,null,null,null,null,null,null
2017-04-17,1291.800049,1294.800049,1284.300049,1289.400024,1289.400024,915
2017-04-18,1283.900024,1291.699951,1278.599976,1291.699951,1291.699951,73
2017-04-19,1288,1288,1274,1281.400024,1281.400024,394
2017-04-20,1279.699951,1281.900024,1276.199951,1281.900024,1281.900024,194
2017-04-21,1279.800049,1287.400024,1279.199951,1287.400024,1287.400024,127
2017-04-23,null,null,null,null,null,null
2017-04-24,1275,1276.400024,1265,1275.800049,1275.800049,474
2017-04-25,1275.599976,1276.900024,1262.099976,1265.599976,1265.599976,605
2017-04-26,1266,1266,1262.099976,1262.099976,1262.099976,356
2017-04-27,1266.699951,1267.199951,1262.199951,1263.699951,1263.699951,1156
2017-04-28,1265.900024,1267.199951,1264.699951,1266.099976,1266.099976,206
2017-04-30,null,null,null,null,null,null
2017-05-01,1268.699951,1269.300049,1253.300049,1253.300049,1253.300049,85
2017-05-02,1256.199951,1256.199951,1251.199951,1255.099976,1255.099976,34
2017-05-03,1255.099976,1255.800049,1238.699951,1246.400024,1246.400024,90
2017-05-04,1239.800049,1239.800049,1224.199951,1226.5,1226.5,195
2017-05-05,1227,1233.699951,1224.800049,1224.800049,1224.800049,72
2017-05-07,null,null,null,null,null,null
2017-05-08,1224,1234,1224,1225.300049,1225.300049,16
2017-05-09,1226.099976,1226.199951,1214,1214.300049,1214.300049,43
2017-05-10,1219.800049,1220.199951,1217.300049,1217.300049,1217.300049,55
2017-05-11,1218.5,1222.699951,1218.300049,1222.699951,1222.699951,23
2017-05-12,1228,1229.5,1226.099976,1226.199951,1226.199951,13
2017-05-14,null,null,null,null,null,null
2017-05-15,1227.5,1232.699951,1227.5,1228.599976,1228.599976,29
2017-05-16,1230.400024,1237.300049,1230.400024,1235,1235,13
2017-05-17,1241,1259.199951,1240.699951,1257.5,1257.5,20
2017-05-18,1254.800049,1260,1245.800049,1251.699951,1251.699951,26
2017-05-19,1252.699951,1252.699951,1252.699951,1252.699951,1252.699951,43
2017-05-21,null,null,null,null,null,null
2017-05-22,1251.699951,1260.699951,1251.699951,1260.699951,1260.699951,14
2017-05-23,1261.5,1261.599976,1250.599976,1254.800049,1254.800049,14
2017-05-24,1251.900024,1257.800049,1249.699951,1252.400024,1252.400024,20
2017-05-25,1257.099976,1258.300049,1255.800049,1255.800049,1255.800049,14
